timestamp,t_s,soc_meas,soc_sim,p_meas_W,p_pred_W,v_meas_V,v_sim_V,i_meas_A,i_sim_A
2023-12-18 00:00:00,0.0,0.07,0.07,0.091728428544,0.33755827845057973,3.682136,3.0082289390721124,0.024912,0.11221163192276709
2023-12-18 00:00:10,10.0,0.07,0.06994722389682867,0.0927881964,0.33742964746897575,3.6820999999999997,3.0082138109284102,0.0252,0.11216943630906165
2023-12-18 00:00:20,20.0,0.07,0.06989443422747202,0.09043315671999999,0.3377154940947624,3.6821800000000002,3.008189386251165,0.02456,0.11226536987275006
2023-12-18 00:00:30,30.0,0.07,0.0698416007824423,0.08807811704,0.33800134072054916,3.6822600000000003,3.00816495245411,0.02392,0.11236130533493485
2023-12-18 00:00:40,40.0,0.07,0.06978872220785183,0.08572307736,0.33828718734633584,3.68234,3.0081405090882587,0.023280000000000002,0.11245724271332787
2023-12-18 00:00:50,50.0,0.07,0.06973579850279908,0.08336803767999999,0.3385730339721226,3.6824199999999996,3.0081160561663567,0.02264,0.11255318200841535
2023-12-18 00:01:00,60.0,0.07,0.06968282966638231,0.081012998,0.33885888059790925,3.6825,3.00809159370115,0.022,0.1126491232206732
2023-12-18 00:01:10,70.0,0.07,0.06962981569769956,0.07865795832,0.339144727223696,3.68258,3.0080671217053876,0.021359999999999997,0.11274506635058726
2023-12-18 00:01:20,80.0,0.07,0.06957675659584861,0.07630291864,0.33943057384948266,3.68266,3.0080426401918237,0.02072,0.11284101139863971
2023-12-18 00:01:30,90.0,0.07,0.06952365243880672,0.07394787896,0.3397164204752694,3.68274,3.0080181492000597,0.02008,0.11293695836430258
2023-12-18 00:01:40,100.0,0.07,0.06947050792837867,0.07159283928,0.3400022671010561,3.6828200000000004,3.0079936503429203,0.019440000000000002,0.11303290718791983
2023-12-18 00:01:50,110.0,0.07,0.06941732979279994,0.06923779960000001,0.3402881137268428,3.6829,3.007969145920367,0.0188,0.11312885778378635
2023-12-18 00:02:00,120.0,0.07,0.06936412324353078,0.06326653621252856,0.3582794548865483,3.6840769714285715,3.0075473096786007,0.01717494285714286,0.11912678937204442
2023-12-18 00:02:10,130.0,0.07,0.06931089309972993,0.04475587793035709,0.34064542200907616,3.686907142857143,3.007924937826295,0.012139285714285715,0.11324930942433978
2023-12-18 00:02:20,140.0,0.07,0.06925764378825466,0.04554337782321423,0.34064542200907616,3.6867642857142853,3.007906841009727,0.012353571428571429,0.11324999077921022
2023-12-18 00:02:30,150.0,0.07,0.06920437934366075,0.04633087771607139,0.34064542200907616,3.6866214285714287,3.007888745183049,0.012567857142857141,0.11325067210501157
2023-12-18 00:02:40,160.0,0.07,0.0691511034082025,0.04711837760892851,0.34064542200907616,3.6864785714285717,3.007870651585977,0.012782142857142857,0.11325135335506067
2023-12-18 00:02:50,170.0,0.07,0.0690978192318327,0.04790587750178567,0.34064542200907616,3.686335714285714,3.0078525613233844,0.012996428571428572,0.11325203448775431
2023-12-18 00:03:00,180.0,0.07,0.06904452967220268,0.048693377394642814,0.34064542200907616,3.6861928571428573,3.007834475365525,0.013210714285714287,0.11325271546655877
2023-12-18 00:03:10,190.0,0.07,0.06899123719466224,0.04948087728749996,0.34064542200907616,3.6860500000000003,3.0078163945482626,0.013425000000000001,0.11325339625999284
2023-12-18 00:03:20,200.0,0.07,0.06893794387225977,0.05026837718035711,0.34064542200907616,3.6859071428571424,3.0077983195732934,0.013639285714285715,0.11325407684163052
2023-12-18 00:03:30,210.0,0.07,0.0688846513857421,0.05105587707321424,0.34064542200907616,3.685764285714286,3.007780251008378,0.013853571428571429,0.11325475719008081
2023-12-18 00:03:40,220.0,0.07,0.06883136102355458,0.051843376966071386,0.34064542200907616,3.685621428571429,3.007762189287563,0.014067857142857142,0.11325543728899676
2023-12-18 00:03:50,230.0,0.07,0.06877807368184113,0.05263087685892852,0.34064542200907616,3.685478571428571,3.0077441347114093,0.014282142857142858,0.11325611712705223
2023-12-18 00:04:00,240.0,0.07,0.06872478986444414,0.053418376751785665,0.34064542200907616,3.6853357142857144,3.0077260874472174,0.014496428571428572,0.11325679669793122
2023-12-18 00:04:10,250.0,0.07,0.06867150968290449,0.05420587664464281,0.34064542200907616,3.6851928571428574,3.0077080475292526,0.014710714285714285,0.11325747600034049
2023-12-18 00:04:20,260.0,0.07,0.06861823285646163,0.05499337653749996,0.34064542200907616,3.6850499999999995,3.0076900148589703,0.014924999999999999,0.11325815503797955
2023-12-18 00:04:30,270.0,0.07,0.06856495871205347,0.0557808764303571,0.34064542200907616,3.684907142857143,3.0076719892052433,0.015139285714285716,0.11325883381953651
2023-12-18 00:04:40,280.0,0.07,0.06851168618431647,0.056568376323214244,0.34064542200907616,3.684764285714286,3.0076539702045793,0.015353571428571428,0.11325951235869783
2023-12-18 00:04:50,290.0,0.07,0.0684584138155856,0.05735587621607139,0.34064542200907616,3.684621428571428,3.0076359573613547,0.015567857142857144,0.11326019067411437
2023-12-18 00:05:00,300.0,0.07,0.06840513975589431,0.05814337610892852,0.34064542200907616,3.6844785714285715,3.007617950048033,0.01578214285714286,0.11326086878941438
2023-12-18 00:05:10,310.0,0.07,0.06835186022893719,0.05893087600178568,0.34064542200907616,3.6843357142857145,3.0075999469871286,0.01599642857142857,0.11326154675269232
2023-12-18 00:05:20,320.0,0.07,0.06829853861372459,0.05971837589464281,0.34064542200907616,3.6841928571428566,3.0075819358103635,0.016210714285714287,0.11326222502972047
